,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
0,Algeria,,,5,,,Amateur Radio,9,,,Garrett Reisman,107:03:16
1,Argentina ,,,30,,,Communications ,3603,,,Takuya Onishi,115:02:22
2,Australia,,,13,,,Communications Maritime Tracking ,6,,6,Vladimir N. Dezhurov,115:08:43
9,Brazil,,,10,,,Communications Technology Development   ,6,,3,Sergei Revin,124:23:51
11,Canada ,,,23,,,Earth Obesrvation,1119,,,Daniel Tani,131:18:05
13,China ,3,11,313,,,Earth Observation Technology Development ,8,,268,Georgi Grechko,134:20:32
17,Ecuador,,,27,,,Earth Science ,24,,,Jack D. Fischer,135:18:08
22,Finland,,,17,,,Navigation Global Positioning  ,140,,,Aleksandr Ivanchenkov,139:14:47
23,France,,,13,,,Navigation Regional Positioning ,14,,,"Norman Thagard, M.D.",140:13:27
24,Germany ,1,117,23,,,Space Observation,10,,,Kimiya Yui,141:16:09
27,India,,,48,,,Space Science ,99,,76,Kjell N. Lindgren,141:16:09
28,Indonesia,,,4,,,Surveillance  ,13,,,Jerry Linenger,143:02:50
31,Israel,,,4,,,Technology Demonstration   ,41,,11,"Frank L. Culbertson, Jr.",143:14:51
32,Italy,,,9,,,Technology Development   ,362,,,Evgeny Tarelkin,143:16:19
33,Japn,,,69,,,,,,126,Anatoly Artsebarsky,144:15:21
39,Luxembourg,,,25,,,,,,,Vladimir Dzhanibekov,145:15:58
41,Mexico,,,5,,,,,,,Randolph Bresnik,149:12:13
44,Netherlands,,,4,,,,,,,Sandra Magnus,157:08:44
47,Norway,,,8,,,,,,,Kevin A. Ford,157:13:13
53,Russia,3,11,159,,,,,,1395,William Shepherd,159:05:55
54,Saudi Arabia ,,,10,,,,,,,Dmitri Kondratyev,159:07:18
58,South Korea ,,,12,,,,,,1,John Blaha,161:02:48
59,Spain,,,13,,,,,,1,"Thomas Marshburn, M.D.",161:07:03
68,UAE,,,12,,,,,,,Timothy Creamer,163:05:33
69,UK,,,405,,,,,,1,Gregory R. Wiseman,165:08:00
71,USA ,3,339,2520,,,,,,1348,Chris Hadfield,165:16:20
72,Kazakhstan,,,,,,,,,701,Clayton Anderson,166:21:10
73,South Africa,,,,,,,,,303,Yelena Serova,167:05:42
74,North Korea,,,,,,,,,5,Satoshi Furukawa,167:06:14
75,New Zealand ,,,,,,,,,13,Victor J. Glover,167:06:29
76,Liberia,,,,,,,,,36,Norishige Kanai,168:05:18
,,,,,,,,,,,Scott D. Tingle,168:05:18
,,,,,,,,,,,"David Wolf, M.D.",169:08:58
,,,,,,,,,,,Aleksandr Laveykin,174:03:25
,,,,,,,,,,,Klaus-Dietrich Flade,175:02:51
,,,,,,,,,,,Andrew Thomas,177:09:14
,,,,,,,,,,,Ronald Garan,177:23:54
,,,,,,,,,,,Barry Wilmore,178:00:58
,,,,,,,,,,,Douglas Wheelock,178:09:33
,,,,,,,,,,,Yelena Kondakova,178:09:41
,,,,,,,,,,,Alexander Poleshchuk,179:00:43
,,,,,,,,,,,Aleksandr Balandin,179:01:17
,,,,,,,,,,,Karen Nyberg,180:00:30
,,,,,,,,,,,Catherine Coleman,180:03:59
,,,,,,,,,,,Andreas Mogensen,181:23:47
,,,,,,,,,,,Aydyn Aimbetov,181:23:47
,,,,,,,,,,,Aleksandr Lazutkin,184:22:07
,,,,,,,,,,,Sergei Treshchov,184:22:15
,,,,,,,,,,,Sergey Kud-Sverchkov,184:23:09
,,,,,,,,,,,Timothy Peake,185:22:11
,,,,,,,,,,,Daniel Burbank,187:21:47
,,,,,,,,,,,Tracy Caldwell Dyson,188:19:15
,,,,,,,,,,,Michael Fossum,193:19:03
,,,,,,,,,,,Ivan Vagner,195:18:49
,,,,,,,,,,,Steven Swanson,195:20:47
,,,,,,,,,,,Serena Auñón-Chancellor,196:12:43
,,,,,,,,,,,Sergey Prokopyev,196:12:43
,,,,,,,,,,,Frank De Winne,198:17:35
,,,,,,,,,,,Gregory Chamitoff,198:18:01
